@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,0,0.8,-0.8,-0.437635
0,0,0.8,-0.6,-0.532622
0,0,0.8,-0.4,-0.411495
0,0,0.8,-0.2,0
0,0,0.8,0,0
0,0,0.8,0.2,0
0,0,0.8,0.4,0
0,0,0.8,0.6,0
0,0,0.8,0.8,0
0,0,0.8,1,0
0,0,1,-1,0
0,0,1,-0.8,-0.585013
0,-0.830954,1,-0.6,-0.98792
0,-0.439515,1,-0.4,-0.561844
0,0,1,-0.2,0
0,0,1,0,0
0,0,1,0.2,0
0,0,1,0.4,0
0,0,1,0.6,0
0,0.514052,1,0.8,0.96709
0,0.474411,1,1,0.884232
0,0.448093,0,-1,0.435964
0,0,0,-0.8,0
0,0,0,-0.6,0
0,0,0,-0.4,0
0,0,0,-0.2,0
0,0,0,0,0
0,0,0,0.2,0
0,0,0,0.4,0
0,0,0,0.6,0
0,0,0,0.8,0
0,0,0,1,0
0,0,0.2,-1,0
0,0,0.2,-0.8,0
0,0,0.2,-0.6,0
0,0,0.2,-0.4,0
0,0,0.2,-0.2,0
0,0,0.2,0,0
0,0,0.2,0.2,0
0,0,0.2,0.4,0
0,0,0.2,0.6,0
0,0,0.2,0.8,0
0,0,0.2,1,0
0,0,0.4,-1,0
0,0,0.4,-0.8,0
0,0,0.4,-0.6,0
0,0,0.4,-0.4,0
0,0,0.4,-0.2,0
0,0,0.4,0,0
0,0,0.4,0.2,0
0,0,0.4,0.4,0
0,0,0.4,0.6,0
0,0,0.4,0.8,0
0,0,0.4,1,0
0,0,0.6,-1,0
0,0,0.6,-0.8,0
0,-0.56735,0.6,-0.6,-0.799232
0,0,0.6,-0.4,0
0,0,0.6,-0.2,0
0,0,0.6,0,0
0,0,0.6,0.2,0
0,0,0.6,0.4,0
0,0,0.6,0.6,0
0,0.590772,0.6,0.8,0.940734
0,0,0.6,1,0.588358
0,0,0.8,-1,0
0,0,0.8,-0.8,0
0,0,0.8,-0.6,0
0,0,0.8,-0.4,0
0,0,0.8,-0.2,0
0,0,0.8,0,0
0,0,0.8,0.2,0
0,0,0.8,0.4,0
0,0,0.8,0.6,0
0,0,0.8,0.8,0
0,0,0.8,1,0
0,0,1,-1,0
0,0,1,-0.8,-0.886892
0,-0.694539,1,-0.6,-0.929865
0,0,1,-0.4,-0.391556
0,0,1,-0.2,0
0,0,1,0,0
0,0,1,0.2,0
0,0,1,0.4,0
0,0,1,0.6,0
0,0.677753,1,0.8,0.99504
0,0.467831,1,1,0.779517
0,0.498916,0,-1,0.482511
0,0,0,-0.8,0
0,0,0,-0.6,0
0,0,0,-0.4,0
0,0,0,-0.2,0
0,0,0,0,0
0,0,0,0.2,0
0,0,0,0.4,0
0,0,0,0.6,0
0,0,0,0.8,0
0,0,0,1,0
0,0,0.2,-1,0
0,0,0.2,-0.8,-0.566858
0,-0.548637,0.2,-0.6,-0.929703
0,-0.546542,0.2,-0.4,-0.9124
0,-0.420257,0.2,-0.2,-0.67089
0,0,0.2,0,0
0,0,0.2,0.2,0
0,0,0.2,0.4,0.638354
0,0.377526,0.2,0.6,0.531545
0,0,0.2,0.8,0
0,0,0.2,1,0
0,0,0.4,-1,0
0,0,0.4,-0.8,-0.58925
0,0,0.4,-0.6,0
0,0,0.4,-0.4,0
0,0,0.4,-0.2,0
0,0,0.4,0,0
0,0,0.4,0.2,0
0,0,0.4,0.4,0
0,0,0.4,0.6,0
0,0,0.4,0.8,0
0,0.547123,0.4,1,0.805923
0,0.424709,0.6,-1,0
0,0,0.6,-0.8,0
0,0,0.6,-0.6,0
0,0,0.6,-0.4,0
0,0,0.6,-0.2,0
0,0,0.6,0,0
0,0,0.6,0.2,0.394774
0,0,0.6,0.4,0.515437
0,0,0.6,0.6,0.497913
0,0,0.6,0.8,0.499302
0,0,0.6,1,0.42347
0,0,0.8,-1,0
0,0,0.8,-0.8,-0.975015
0,-0.487427,0.8,-0.6,-0.746677
0,0,0.8,-0.4,0
0,0,0.8,-0.2,0
0,0,0.8,0,0
0,0,0.8,0.2,0
0,0,0.8,0.4,0
0,0,0.8,0.6,0.688183
0,0.734898,0.8,0.8,0.999181
0,0.770461,0.8,1,0.99421
0,0.803518,1,-1,0
0,-0.675318,1,-0.8,-0.988464
0,-0.986007,1,-0.6,0
0,-0.553987,1,-0.4,-0.918044
0,0,1,-0.2,-0.499407
0,0,1,0,0
0,0,1,0.2,0.384965
0,0,1,0.4,0.478791
0,0,1,0.6,0.450356
0,0,1,0.8,0.438687
0,0,1,1,0.998901
