@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-0.755001,0.8,0.4,-0.646964
-0.646964,0.8,0.5,-0.631721
-0.631721,0.8,0.6,-0.623806
-0.623806,0.8,0.7,-0.643169
-0.643169,0.8,0.8,-0.569805
-0.569805,0.8,0.9,-0.406085
-0.406085,0.9,-1,-0.99427
-0.99427,0.9,-0.9,-0.972065
-0.972065,0.9,-0.8,-0.924931
-0.924931,0.9,-0.7,-0.996015
-0.996015,0.9,-0.6,-0.986452
-0.986452,0.9,-0.5,-0.991146
-0.991146,0.9,-0.4,-0.980012
-0.980012,0.9,-0.3,-0.969461
-0.969461,0.9,-0.2,-0.932553
-0.932553,0.9,-0.1,-0.90528
-0.90528,0.9,0,-0.867656
-0.867656,0.9,0.1,-0.826386
-0.826386,0.9,0.2,-0.769428
-0.769428,0.9,0.3,-0.773162
-0.773162,0.9,0.4,-0.737713
-0.737713,0.9,0.5,-0.531339
-0.531339,0.9,0.6,-0.62319
-0.62319,0.9,0.7,-0.55539
-0.55539,0.9,0.8,-0.575439
-0.575439,0.9,0.9,0
0,0,-1,-0.467091
-0.467091,0,-0.9,-0.481141
-0.481141,0,-0.8,-0.481536
-0.481536,0,-0.7,-0.480008
-0.480008,0,-0.6,-0.483456
-0.483456,0,-0.5,-0.486698
-0.486698,0,-0.4,-0.487626
-0.487626,0,-0.3,-0.492921
-0.492921,0,-0.2,-0.492939
-0.492939,0,-0.1,-0.494709
-0.494709,0,0,-0.499686
-0.499686,0,0.1,-0.502257
-0.502257,0,0.2,-0.505893
-0.505893,0,0.3,-0.511135
-0.511135,0,0.4,-0.510599
-0.510599,0,0.5,-0.520066
-0.520066,0,0.6,-0.513588
-0.513588,0,0.7,-0.521044
-0.521044,0,0.8,-0.526321
-0.526321,0,0.9,-0.521488
-0.521488,0.1,-1,-0.535096
-0.535096,0.1,-0.9,-0.532545
-0.532545,0.1,-0.8,-0.529775
-0.529775,0.1,-0.7,-0.523144
-0.523144,0.1,-0.6,-0.541163
-0.541163,0.1,-0.5,-0.524296
-0.524296,0.1,-0.4,-0.512946
-0.512946,0.1,-0.3,-0.512022
-0.512022,0.1,-0.2,-0.511603
-0.511603,0.1,-0.1,-0.507875
-0.507875,0.1,0,-0.498761
-0.498761,0.1,0.1,-0.497324
-0.497324,0.1,0.2,-0.496511
-0.496511,0.1,0.3,-0.487466
-0.487466,0.1,0.4,-0.477636
-0.477636,0.1,0.5,-0.476465
-0.476465,0.1,0.6,-0.471565
-0.471565,0.1,0.7,-0.471071
-0.471071,0.1,0.8,-0.470048
-0.470048,0.1,0.9,-0.464784
-0.464784,0.2,-1,-0.604337
-0.604337,0.2,-0.9,-0.611562
-0.611562,0.2,-0.8,-0.568383
-0.568383,0.2,-0.7,-0.598336
-0.598336,0.2,-0.6,-0.594287
-0.594287,0.2,-0.5,-0.544504
-0.544504,0.2,-0.4,-0.559654
-0.559654,0.2,-0.3,-0.534782
-0.534782,0.2,-0.2,-0.53089
-0.53089,0.2,-0.1,-0.516584
-0.516584,0.2,0,-0.502288
-0.502288,0.2,0.1,-0.487241
-0.487241,0.2,0.2,-0.474775
-0.474775,0.2,0.3,-0.471481
-0.471481,0.2,0.4,-0.44804
-0.44804,0.2,0.5,-0.445854
-0.445854,0.2,0.6,-0.436856
-0.436856,0.2,0.7,-0.42436
-0.42436,0.2,0.8,-0.413957
-0.413957,0.2,0.9,-0.375972
-0.375972,0.3,-1,-0.663999
-0.663999,0.3,-0.9,-0.68835
-0.68835,0.3,-0.8,-0.669401
-0.669401,0.3,-0.7,-0.625689
-0.625689,0.3,-0.6,-0.63191
-0.63191,0.3,-0.5,-0.583789
-0.583789,0.3,-0.4,-0.564901
-0.564901,0.3,-0.3,-0.565609
-0.565609,0.3,-0.2,-0.538656
-0.538656,0.3,-0.1,-0.520214
-0.520214,0.3,0,-0.500393
-0.500393,0.3,0.1,-0.478959
-0.478959,0.3,0.2,-0.468074
-0.468074,0.3,0.3,-0.436699
-0.436699,0.3,0.4,-0.440842
-0.440842,0.3,0.5,-0.396166
-0.396166,0.3,0.6,-0.390289
-0.390289,0.3,0.7,-0.345982
-0.345982,0.3,0.8,0
0,0.3,0.9,0
0,0.4,-1,-0.667157
-0.667157,0.4,-0.9,-0.801279
-0.801279,0.4,-0.8,-0.659059
-0.659059,0.4,-0.7,-0.662646
-0.662646,0.4,-0.6,-0.687335
-0.687335,0.4,-0.5,-0.600656
-0.600656,0.4,-0.4,-0.625748
-0.625748,0.4,-0.3,-0.564517
-0.564517,0.4,-0.2,-0.574552
-0.574552,0.4,-0.1,-0.52545
-0.52545,0.4,0,-0.501264
-0.501264,0.4,0.1,-0.461978
-0.461978,0.4,0.2,-0.454997
-0.454997,0.4,0.3,-0.408483
-0.408483,0.4,0.4,-0.415583
-0.415583,0.4,0.5,-0.3814
-0.3814,0.4,0.6,0
0,0.4,0.7,0
0,0.4,0.8,0
0,0.4,0.9,0
0,0.5,-1,-0.745344
-0.745344,0.5,-0.9,-0.743617
-0.743617,0.5,-0.8,-0.780557
-0.780557,0.5,-0.7,-0.747532
-0.747532,0.5,-0.6,-0.735359
-0.735359,0.5,-0.5,-0.654464
-0.654464,0.5,-0.4,-0.664416
-0.664416,0.5,-0.3,-0.599785
-0.599785,0.5,-0.2,-0.562873
